type,t_s,v_ms
tennis,0.0,0.00
tennis,0.2,-1.88
tennis,0.4,-3.77
tennis,0.6,-5.65
tennis,0.8,-7.54
tennis,1.0,-9.42
cricket,0.0,0
cricket,0.2,-2
cricket,0.4,-4
cricket,0.6,-6
cricket,0.8,-8
cricket,1.0,-10


